Player Name,Tournament,Probability #1,Deck #1,Probability #2,Deck #2,,Final Standing,Player Name,Deck,,Expected Players Not Present,Unexpected Players Present
johnmtg,Showcase #1,95,Broodscale,5,Other,,1,johnmtg,Broodscale,,Baku_91,marceliiine
E_Kaminuma,Showcase #1,100,Mardu Energy,0,Other,,2,pedrogush,Broodscale,,,BERNASTORRES
BONK101,Showcase #1,100,Temur Breach,0,Other,,3,Cachorrowo,Storm,,,
Scandimaniac,Showcase #1,100,Storm,,,,4,Nammersquats,RG Eldrazi Breach,,,
pedrogush,Showcase #1,100,Mardu Energy,0,Other,,5,kanister,Amulet,,,
aspiringspike,Showcase #1,70,Ugin's Labyrinth,30,Other,,6,BONK101,Temur Breach,,,
MikeyCoppola365,Showcase #1,100,Other,,,,7,336767332971,Broodscale,,,
d_peliser,Showcase #1,60,UB Frog,40,Jeskai Control,,8,toondoslav,Temur Breach,,,
336767332971,Showcase #2,,,,,,9,Gitaxian_Probe,Mardu Energy,,,
werhsdnas1414,Showcase #2,100,Mono-B Necrodominance,,,,10,Scandimaniac,Storm,,,
TokaraStrait,Showcase #2,90,RW Energy,10,Other,,11,ScreenwriterNY,Shifting Woodland Combo,,,
zarbo,Showcase #2,95,Mardu Energy,5,Other,,12,komattaman,Mardu Energy,,,
Deskbot000,Showcase #2,100,RW Energy,,,,13,marceliiine,Broodscale,,,
PintuMtg,Showcase #2,50,Mardu Energy,50,Boros Energy,,14,E_Kaminuma,Mardu Energy,,,
MTGMoneyMaker,Showcase #2,100,Storm,,,,15,Hamuda,Belcher,,,
RespectTheCat,Showcase #2,80,Jeskai Control,20,Other,,16,Giltspire,Mono-G Tron,,,
kanister,Showcase #3,95,Amulet,5,Other,,17,zarbo,Mardu Energy,,,
komattaman,Showcase #3,90,Mardu Energy,10,Other,,18,Gerardo94,RG Eldrazi Tron,,,
Giltspire,Showcase #3,100,Mono-G Tron,,,,19,Matti,Mardu Energy,,,
Aiteth,Showcase #3,100,RW Energy,,,,20,werhsdnas1414,Mono-B Necrodominance,,,
Gitaxian_Probe,Showcase #3,80,RW Energy,20,Mardu Energy,,21,Aiteth,RW Energy,,,
Oscar_Franco,Showcase #3,70,RG Eldrazi Tron,30,Other,,22,Deskbot000,Jeskai Energy,,,
Cachorrowo,Showcase #3,100,Storm,,,,23,Oscar_Franco,RG Eldrazi Tron,,,
416FrowningTable,Showcase #3,,,,,,24,amin0e,RW Energy,,,
ScreenwriterNY,LCQ #1,100,Shifting Woodland Combo,,,,25,Flamel88,5C Domain Zoo,,,
Mogged,LCQ #1,95,Ugin's Labyrinth,5,Other,,26,aspiringspike,RW Energy,,,
azax,LCQ #2,100,Storm,,,,27,FerMTG,RW Energy,,,
KingHairy,LCQ #2,100,Belcher,,,,28,azax,azax,,,
Matti,LCQ #2,90,Mardu Energy,10,Other,,29,TheManLand,Belcher,,,
amin0e,LCQ #3,100,RW Energy,,,,30,KingHairy,Belcher,,,
TheManLand,LCQ #3,80,Belcher,20,Other,,31,PintuMtg,Mardu Energy,,,
Hamuda,LCQ #3,100,Belcher,,,,32,Mogged,RW Energy,,,
_Joseba_,LCQ #3,100,Belcher,,,,33,RespectTheCat,Jeskai Control,,,
Gerardo94,LCQ #4,100,RG Eldrazi Tron,,,,34,d_peliser,UB Frog,,,
toondoslav,LCQ #4,95,Temur Breach,5,Other,,35,BERNASTORRES,Storm,,,
Flamel88,LCQ #5,95,5C Domain Zoo,5,Jeskai Control,,36,MikeyCoppola365,RW Energy,,,
Baku_91,LCQ #5,100,Temur Breach,,,,37,MTGMoneyMaker,Storm,,,
FerMTG,LCQ #6,95,RW Energy,5,Other,,38,TokaraStrait,,,,
Nammersquats,LCQ #6,95,UB Frog,5,Other,,39,_Joseba_,UB Frog,,,
,,,,,,,40,416FrowningTable,Mardu Energy,,,
