Player Name,Tournament,Probability #1,Deck #1,Probability #2,Deck #2,,Final Standing,Player Name,Deck,,Expected Players Not Present,Unexpected Players Present
FerMTG,Showcase #1,60,Niv,40,Other,,1,mcwright_,UW Humans,,TheRatZoo,JUJUBEAN__2004
lunaloveee,Showcase #1,80,RB Aggro,20,Other,,2,hyyy1,5C Yorion Enigmatic,,Preparation,Hamuda
tzio,Showcase #1,100,Other,,,,3,FerMTG,UW Control,,_Stream,
kcomedina,Showcase #1,100,UW Control,,,,4,Summer_Bloom,RB Aggro,,_IlNano_,
MCScards,Showcase #1,100,Other,,,,5,eresopacaso,4C Zur,,Gitaxian_Probe,
Darthkid,Showcase #1,100,Other,,,,6,duke12,Niv,,,
Cachorrowo,Showcase #1,100,Lotus Field,,,,7,MadMaxErnst,4C Zur,,,
TheRatZoo,Showcase #1,97,Jund Sacrifice,3,Other,,8,336767332971,Jund Sacrifice,,,
alicoco,Showcase #2,100,GW Company,,,,9,esmyth,Mono-R,,,
boytriton,Showcase #2,97,Phoenix,3,Other,,10,Darthkid,RB Demons,,,
L1X0,Showcase #2,97,Red Aggro,3,Other,,11,RNGspecialist,Phoenix,,,
MadMaxErnst,Showcase #2,95,4C Zur,4,Other,,12,ThaisM,UW Spirits,,,
Mathilde8,Showcase #2,60,Phoenix,40,Other,,13,MCScards,Mardu Greasefang,,,
336767332971,Showcase #2,,,,,,14,boytriton,RB Demons,,,
hyyy1,Showcase #2,95,5C Yorion Enigmatic,5,Other,,15,tzio,RB Demons,,,
Preparation,Showcase #2,100,Phoenix,,,,16,JUJUBEAN__2004,Phoenix,,,
RNGspecialist,Showcase #3,70,Niv,30,Other,,17,_Batutinha_,RB Aggro,,,
levunga21,Showcase #3,100,Jund Sacrifice,,,,18,msskinbolic,RB Demons,,,
msskinbolic,Showcase #3,50,RB Demons,50,RB Aggro,,19,Mathilde8,UB Ninjas,,,
eresopacaso,Showcase #3,85,4C Zur,15,Other,,20,levunga21,Jund Sacrifice,,,
_lluks_,Showcase #3,80,RB Aggro,20,Other,,21,_lluks_,4C Zur,,,
Devoured,Showcase #3,100,Mono-W Humans,,,,22,alicoco,GW Company,,,
duke12,Showcase #3,50,RB Demons,50,Other,,23,ura_frst,Mono-W Humans,,,
336767332971,Showcase #3,,,,,,24,RNAPBP1,Lotus Field,,,
ura_frst,LCQ #1,90,Mono-W Humans,10,Other,,25,kcomedina,UW Control,,,
BERNASTORRES,LCQ #1,70,Niv,30,Other,,26,Cachorrowo,Lotus Field,,,
_Batutinha_,LCQ #2,90,Niv,10,Other,,27,Devoured,UW Humans,,,
mcwright_,LCQ #2,20,Mono-W Humans,80,Other,,28,Hamuda,RB Aggro,,,
_Stream,LCQ #3,90,RB Demons,10,Other,,29,L1X0,RB Aggro,,,
_IlNano_,LCQ #3,90,RB Demons,10,Other,,30,BERNASTORRES,RB Transmogrify,,,
Gitaxian_Probe,LCQ #4,60,RB Aggro,40,Other,,31,TheManLand,4C Zur,,,
Summer_Bloom,LCQ #4,90,RB Aggro,10,Other,,32,lunaloveee,RB Aggro,,,
ThaisM,LCQ #5,100,UW Spirits,,,,,,,,,
TheManLand,LCQ #5,97,Lotus Field,3,Other,,,,,,,
RNAPBP1,LCQ #6,80,Lotus Field,20,Other,,,,,,,
esmyth,LCQ #6,100,Mono-R Aggro,,,,,,,,,
